r_list,flux_arr,area_arr,error_arr
3,160.396822,20.391771,nan
6,416.100159,81.567086,nan
9,648.326418,183.525943,nan
12,851.307102,326.268343,nan
15,1030.719025,509.794285,nan
18,1193.074555,734.103771,nan
21,1340.420289,999.196799,nan
24,1473.320687,1305.07337,nan
27,1591.770957,1651.733484,nan
30,1697.288334,2039.177141,nan
33,1791.687533,2467.40434,nan
36,1876.441871,2936.415083,nan
39,1952.953285,3446.209368,nan
42,2022.623092,3996.787196,nan
45,2086.652808,4588.148567,nan
48,2145.927558,5220.29348,nan
51,2201.264033,5893.221937,nan
54,2253.013241,6606.933936,nan
57,2301.61289,7361.429478,nan
60,2347.515967,8156.708563,nan
63,2390.323876,8979.27725,nan
66,2430.349429,9821.412238,nan
69,2468.002921,10687.111733,nan
72,2500.537028,11527.826222,nan
75,2528.972649,12357.841035,nan
78,2555.064142,13204.962771,nan
81,2579.242015,14073.876769,nan
84,2601.906423,14975.523769,nan
87,2622.873933,15911.394696,nan
90,2642.094802,16877.632235,nan
93,2659.598212,17870.159319,nan
96,2675.565566,18879.330846,nan
99,2690.127684,19899.280703,nan
102,2702.800991,20899.73508,nan
105,2714.236372,21899.82042,nan
108,2724.617708,22944.623074,nan
111,2733.769682,23999.017543,nan
114,2742.469915,25104.325189,nan
117,2750.54641,26263.27189,nan
120,2758.094509,27463.803272,nan
123,2765.177432,28733.117559,nan
126,2771.610236,30055.749807,nan
129,2777.488463,31433.206814,nan
132,2782.865861,32845.222584,nan
135,2787.84663,34301.050399,nan
138,2792.375154,35784.495416,nan
141,2796.448715,37315.849245,nan
144,2800.416453,38922.339035,nan
147,2804.105656,40578.306326,nan
150,2807.163347,42266.888584,nan
