r_list,flux_arr,area_arr,error_arr
3,868.851747,28.269145,nan
6,2098.628043,113.076581,nan
9,3165.922854,254.422306,nan
12,4087.773036,452.306323,nan
15,4891.956239,706.728629,nan
18,5597.661128,1017.689226,nan
21,6220.154246,1385.188113,nan
24,6770.862066,1809.22529,nan
27,7259.14161,2289.800758,nan
30,7693.112666,2826.914516,nan
33,8081.006234,3420.566565,nan
36,8429.832841,4070.756903,nan
39,8745.334958,4777.485532,nan
42,9032.161513,5540.752452,nan
45,9293.98151,6360.557662,nan
48,9533.778943,7236.901162,nan
51,9754.036031,8169.782952,nan
54,9956.847634,9159.203033,nan
57,10143.999937,10205.161404,nan
60,10317.029228,11307.658065,nan
63,10477.266698,12466.693017,nan
66,10625.873253,13682.266259,nan
69,10763.866707,14954.377791,nan
72,10892.143972,16283.027613,nan
75,11011.499036,17668.215726,nan
78,11122.637698,19109.94213,nan
81,11226.189707,20608.206823,nan
84,11322.718931,22163.009807,nan
87,11412.731864,23774.351081,nan
90,11496.684868,25442.230646,nan
93,11574.990317,27166.648501,nan
96,11648.021774,28947.604646,nan
99,11716.11849,30785.099082,nan
102,11779.589287,32679.131808,nan
105,11838.715943,34629.702824,nan
108,11893.756042,36636.81213,nan
111,11944.945523,38700.459727,nan
114,11992.500935,40820.645614,nan
117,12036.621385,42997.369792,nan
120,12077.490223,45230.63226,nan
123,12115.276579,47520.433018,nan
126,12150.136164,49866.772066,nan
129,12182.207219,52269.649405,nan
132,12211.614646,54729.065034,nan
135,12238.469752,57245.018954,nan
138,12262.867605,59817.511163,nan
141,12284.883945,62446.541664,nan
144,12304.56786,65132.110454,nan
147,12321.902402,67874.217535,nan
150,12336.177618,70657.207649,nan
