r_list,flux_arr,area_arr,error_arr
8,2416.000772,201.06193,nan
16,4490.89548,804.247719,nan
24,6008.468869,1809.557368,nan
32,7144.815105,3216.990877,nan
40,8017.360259,5026.548246,nan
48,8701.615607,7238.229474,nan
56,9247.617162,9852.034562,nan
64,9689.649315,12867.963509,nan
72,10051.910493,16286.016316,nan
80,10351.9189,20106.192983,nan
88,10602.63382,24328.493509,nan
96,10813.821363,28952.917895,nan
104,10992.960476,33979.466141,nan
112,11145.859699,39408.138247,nan
120,11277.086484,45238.934212,nan
128,11390.272157,51471.854036,nan
136,11488.332442,58106.897721,nan
144,11573.629391,65144.065265,nan
152,11648.092006,72583.356669,nan
160,11713.307254,80424.771932,nan
168,11770.589533,88668.311055,nan
176,11821.034231,97313.974038,nan
184,11865.559453,106361.76088,nan
192,11904.938794,115811.671582,nan
200,11939.827292,125663.706144,nan
208,11970.782152,135917.864565,nan
216,11998.279386,146574.146846,nan
224,12022.727288,157632.552987,nan
232,12044.477381,169093.082987,nan
240,12063.833396,180955.736847,nan
248,12081.058647,193220.514566,nan
256,12096.382133,205887.416146,nan
264,12110.003609,218956.441585,nan
272,12122.097817,232427.590883,nan
280,12132.81803,246300.864041,nan
288,12142.29904,260576.261059,nan
296,12150.659674,275253.781937,nan
304,12158.00493,290333.426674,nan
312,12164.427797,305815.195271,nan
320,12170.010801,321699.087728,nan
328,12174.827336,337985.104044,nan
336,12178.942799,354673.24422,nan
344,12182.415574,371763.508255,nan
352,12185.297877,389255.89615,nan
360,12187.636491,407150.407905,nan
368,12189.473397,425447.04352,nan
376,12190.846333,444145.802994,nan
384,12191.789272,463246.686328,nan
392,12192.332845,482749.693521,nan
400,12192.504725,502628.162908,nan
